repo_name,file_path,language,lines_of_code,file_size,comment_density,naming_entropy,pattern_repetition,complexity_score,suspicious_patterns,overall_score
scrapy/scrapy,conftest.py,python,128,3687,0.1015625,4.126017462395025,0.13253012048192772,1.0,"[a-zA-Z0-9+/]{30,}=*, password|secret|key|token|api_key, urllib|requests|http",0.6009460161920404
scrapy/scrapy,docs/_ext/scrapydocs.py,python,159,4905,0.06289308176100629,4.015666042725267,0.14285714285714285,1.0,"[a-zA-Z0-9+/]{30,}=*, password|secret|key|token|api_key, shell|cmd|command, socket|connect|bind|listen, urllib|requests|http",0.6627779113006839
scrapy/scrapy,docs/_ext/scrapyfixautodoc.py,python,18,572,0.3333333333333333,3.9458757032875655,0.0,0.3,"socket|connect|bind|listen, urllib|requests|http",0.4022937851643783
scrapy/scrapy,docs/conf.py,python,160,6584,0.35,4.255104345537912,0.014084507042253521,0.0,"[a-zA-Z0-9+/]{30,}=*, crypt|cipher|decrypt, shell|cmd|command, urllib|requests|http",0.43236789333323367
scrapy/scrapy,docs/conftest.py,python,34,921,0.029411764705882353,4.05428816084486,0.0,0.2,urllib|requests|http,0.4083026433363607
scrapy/scrapy,docs/utils/linkfix.py,python,68,1975,0.3382352941176471,3.8782331349945465,0.027777777777777776,0.8,urllib|requests|http,0.4473430292987469
scrapy/scrapy,extras/coverage-report.sh,shell,7,252,0.42857142857142855,4.083008903764419,0.0,0.0,urllib|requests|http,0.31986473090250667
scrapy/scrapy,extras/qps-bench-server.py,python,61,1634,0.06557377049180328,3.848888081333489,0.06818181818181818,1.0,socket|connect|bind|listen,0.5228356112201767
scrapy/scrapy,extras/qpsclient.py,python,59,1623,0.23728813559322035,3.97179931774312,0.0,1.0,"urllib|requests|http, random|uuid|guid",0.522996745548173
scrapy/scrapy,scrapy/__init__.py,python,55,1333,0.16363636363636364,4.082257730735328,0.0,0.2,urllib|requests|http,0.38956743199131183
scrapy/scrapy,scrapy/__main__.py,python,4,77,0.0,2.840223928941852,0.0,0.1,shell|cmd|command,0.33701119644709265
scrapy/scrapy,scrapy/addons.py,python,72,2836,0.2777777777777778,4.1240789903003785,0.07692307692307693,1.0,,0.47607574438681377
scrapy/scrapy,scrapy/cmdline.py,python,243,7849,0.037037037037037035,4.154548707442511,0.11290322580645161,1.0,"password|secret|key|token|api_key, shell|cmd|command, urllib|requests|http",0.6091073636875377
scrapy/scrapy,scrapy/commands/__init__.py,python,227,7706,0.15859030837004406,4.05860506113974,0.14285714285714285,1.0,shell|cmd|command,0.5305702782300519
scrapy/scrapy,scrapy/commands/bench.py,python,69,2027,0.028985507246376812,4.147114894322407,0.0,1.0,"subprocess\., shell|cmd|command, urllib|requests|http",0.5930079186291638
scrapy/scrapy,scrapy/commands/check.py,python,115,3906,0.034782608695652174,4.013778313444245,0.05555555555555555,1.0,"shell|cmd|command, urllib|requests|http",0.5638048577011978
scrapy/scrapy,scrapy/commands/crawl.py,python,34,913,0.0,4.04358060892434,0.0,0.8,shell|cmd|command,0.502179030446217
scrapy/scrapy,scrapy/commands/edit.py,python,47,1358,0.02127659574468085,3.9575065820173423,0.0,0.7,"os\.system, password|secret|key|token|api_key, shell|cmd|command",0.5396838397391649
scrapy/scrapy,scrapy/commands/fetch.py,python,98,3316,0.04081632653061224,4.012339429113661,0.05405405405405406,1.0,"password|secret|key|token|api_key, shell|cmd|command, urllib|requests|http",0.5926026305841993
